test, frames, tgmed, tgmed_carpa, tglarge, fglarge, rnnlm-lstm
nnet5a_clean_100_gpu_dev_clean_1, 85565, 575, 63, 18, 20, 22, 0
nnet5a_clean_100_gpu_dev_clean_2, 106927, 674, 47, 16, 18, 19, 0
nnet5a_clean_100_gpu_dev_clean_3, 97708, 621, 61, 18, 19, 21, 0
nnet5a_clean_100_gpu_dev_clean_4, 76965, 428, 37, 13, 14, 15, 0
nnet5a_clean_100_gpu_dev_clean_5, 116322, 641, 42, 15, 15, 17, 0
nnet5a_clean_100_gpu_dev_clean_6, 76778, 440, 35, 13, 14, 15, 0
nnet5a_clean_100_gpu_dev_clean_7, 82223, 451, 39, 12, 14, 15, 0
nnet5a_clean_100_gpu_dev_clean_8, 130787, 814, 58, 19, 20, 23, 0
nnet5a_clean_100_gpu_dev_clean_9, 95983, 637, 66, 16, 17, 19, 0
nnet5a_clean_100_gpu_dev_clean_10, 160690, 911, 78, 23, 25, 26, 0
nnet5a_clean_100_gpu_dev_clean_11, 131132, 877, 67, 23, 23, 24, 0
nnet5a_clean_100_gpu_dev_clean_12, 112924, 763, 59, 20, 21, 22, 0
nnet5a_clean_100_gpu_dev_clean_13, 79954, 416, 36, 12, 14, 15, 0
nnet5a_clean_100_gpu_dev_clean_14, 96253, 522, 43, 15, 16, 17, 0
nnet5a_clean_100_gpu_dev_clean_15, 77854, 560, 49, 18, 18, 20, 0
nnet5a_clean_100_gpu_dev_clean_16, 81372, 461, 46, 13, 14, 14, 0
nnet5a_clean_100_gpu_dev_clean_17, 83842, 445, 41, 13, 13, 14, 0
nnet5a_clean_100_gpu_dev_clean_18, 66144, 343, 22, 10, 9, 10, 0
nnet5a_clean_100_gpu_dev_clean_19, 78855, 327, 23, 8, 9, 9, 0
nnet5a_clean_100_gpu_dev_clean_20, 96507, 365, 30, 11, 11, 12, 0
nnet5a_clean_100_gpu_test_clean_1, 105191, 581, 45, 15, 17, 18, 1451
nnet5a_clean_100_gpu_test_clean_2, 111159, 685, 50, 17, 18, 19, 1878
nnet5a_clean_100_gpu_test_clean_3, 99739, 523, 44, 14, 15, 17, 1066
nnet5a_clean_100_gpu_test_clean_4, 70887, 421, 37, 14, 15, 16, 1487
nnet5a_clean_100_gpu_test_clean_5, 114148, 694, 48, 17, 18, 20, 1822
nnet5a_clean_100_gpu_test_clean_6, 69002, 451, 40, 14, 15, 16, 1418
nnet5a_clean_100_gpu_test_clean_7, 86750, 581, 49, 17, 19, 19, 1823
nnet5a_clean_100_gpu_test_clean_8, 116633, 843, 77, 23, 24, 26, 2989
nnet5a_clean_100_gpu_test_clean_9, 126270, 852, 63, 22, 23, 25, 3070
nnet5a_clean_100_gpu_test_clean_10, 87687, 543, 45, 15, 15, 18, 1222
nnet5a_clean_100_gpu_test_clean_11, 106552, 739, 65, 21, 21, 24, 2620
nnet5a_clean_100_gpu_test_clean_12, 64958, 441, 54, 16, 16, 17, 1993
nnet5a_clean_100_gpu_test_clean_13, 99779, 688, 53, 18, 20, 20, 2174
nnet5a_clean_100_gpu_test_clean_14, 97759, 606, 64, 20, 21, 23, 3177
nnet5a_clean_100_gpu_test_clean_15, 82030, 533, 44, 14, 15, 15, 1391
nnet5a_clean_100_gpu_test_clean_16, 87395, 475, 31, 12, 12, 12, 736
nnet5a_clean_100_gpu_test_clean_17, 74466, 416, 39, 12, 13, 12, 1631
nnet5a_clean_100_gpu_test_clean_18, 147710, 635, 37, 13, 14, 14, 1429
nnet5a_clean_100_gpu_test_clean_19, 96230, 401, 34, 12, 12, 14, 1552
nnet5a_clean_100_gpu_test_clean_20, 96281, 415, 40, 13, 14, 15, 1923
nnet5a_clean_100_gpu_dev_other_1, 75462, 654, 89, 27, 29, 32, 0
nnet5a_clean_100_gpu_dev_other_2, 89109, 974, 193, 57, 65, 72, 0
nnet5a_clean_100_gpu_dev_other_3, 86858, 992, 172, 59, 69, 76, 0
nnet5a_clean_100_gpu_dev_other_4, 76096, 983, 409, 62, 72, 83, 0
nnet5a_clean_100_gpu_dev_other_5, 120475, 1263, 223, 72, 78, 86, 0
nnet5a_clean_100_gpu_dev_other_6, 88769, 940, 154, 53, 60, 68, 0
nnet5a_clean_100_gpu_dev_other_7, 111127, 1026, 152, 43, 48, 50, 0
nnet5a_clean_100_gpu_dev_other_8, 94850, 1152, 263, 64, 71, 83, 0
nnet5a_clean_100_gpu_dev_other_9, 59913, 464, 47, 16, 17, 17, 0
nnet5a_clean_100_gpu_dev_other_10, 120329, 1146, 249, 62, 71, 77, 0
nnet5a_clean_100_gpu_dev_other_11, 121828, 1247, 212, 69, 80, 88, 0
nnet5a_clean_100_gpu_dev_other_12, 90261, 876, 113, 41, 45, 46, 0
nnet5a_clean_100_gpu_dev_other_13, 90041, 973, 146, 52, 56, 63, 0
nnet5a_clean_100_gpu_dev_other_14, 84616, 1107, 249, 67, 75, 82, 0
nnet5a_clean_100_gpu_dev_other_15, 86858, 1126, 245, 66, 76, 82, 0
nnet5a_clean_100_gpu_dev_other_16, 69727, 593, 121, 30, 32, 34, 0
nnet5a_clean_100_gpu_dev_other_17, 105038, 906, 105, 35, 39, 40, 0
nnet5a_clean_100_gpu_dev_other_18, 112706, 828, 145, 42, 48, 52, 0
nnet5a_clean_100_gpu_dev_other_19, 83635, 618, 95, 29, 31, 34, 0
nnet5a_clean_100_gpu_dev_other_20, 70826, 509, 93, 26, 29, 32, 0
nnet5a_clean_100_gpu_test_other_1, 79263, 873, 125, 44, 49, 53, 0
nnet5a_clean_100_gpu_test_other_2, 116386, 1269, 286, 77, 87, 98, 0
nnet5a_clean_100_gpu_test_other_3, 103938, 1476, 378, 111, 131, 145, 0
nnet5a_clean_100_gpu_test_other_4, 88341, 823, 140, 39, 42, 46, 0
nnet5a_clean_100_gpu_test_other_5, 100196, 1109, 207, 55, 61, 70, 0
nnet5a_clean_100_gpu_test_other_6, 85535, 804, 123, 34, 36, 39, 0
nnet5a_clean_100_gpu_test_other_7, 98616, 1111, 208, 61, 68, 77, 0
nnet5a_clean_100_gpu_test_other_8, 92190, 977, 186, 50, 58, 65, 0
nnet5a_clean_100_gpu_test_other_9, 104152, 1028, 164, 43, 48, 50, 0
nnet5a_clean_100_gpu_test_other_10, 77962, 735, 103, 30, 31, 34, 0
nnet5a_clean_100_gpu_test_other_11, 76780, 812, 152, 46, 52, 58, 0
nnet5a_clean_100_gpu_test_other_12, 104890, 1264, 277, 80, 90, 100, 0
nnet5a_clean_100_gpu_test_other_13, 120694, 1247, 239, 70, 81, 87, 0
nnet5a_clean_100_gpu_test_other_14, 120592, 1494, 362, 89, 102, 115, 0
nnet5a_clean_100_gpu_test_other_15, 75714, 793, 148, 44, 49, 53, 0
nnet5a_clean_100_gpu_test_other_16, 122106, 1034, 159, 50, 56, 61, 0
nnet5a_clean_100_gpu_test_other_17, 73424, 784, 162, 48, 52, 57, 0
nnet5a_clean_100_gpu_test_other_18, 78001, 684, 108, 35, 38, 42, 0
nnet5a_clean_100_gpu_test_other_19, 78940, 650, 130, 30, 35, 38, 0
nnet5a_clean_100_gpu_test_other_20, 119960, 794, 132, 39, 42, 46, 0
